Date : 2026-04-14 21:36:38
Directory : /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src
Total : 143 files,  17685 codes, 659 comments, 2865 blanks, all 21209 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |         52 |      9,344 |        410 |      1,446 |     11,200 |
| Python           |         28 |      4,643 |        176 |        965 |      5,784 |
| MS SQL           |         27 |      2,210 |         41 |        183 |      2,434 |
| Markdown         |          3 |        524 |          0 |        159 |        683 |
| JSON             |          2 |        248 |          0 |          2 |        250 |
| YAML             |          4 |        245 |          8 |         18 |        271 |
| HTML             |         10 |        213 |          0 |         10 |        223 |
| Shell Script     |          2 |         73 |          3 |         12 |         88 |
| PostCSS          |          1 |         57 |         13 |         15 |         85 |
| Docker           |          7 |         55 |          4 |         41 |        100 |
| Properties       |          2 |         31 |          4 |          7 |         42 |
| pip requirements |          4 |         25 |          0 |          4 |         29 |
| toml             |          1 |         17 |          0 |          3 |         20 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                   |        143 |     17,685 |        659 |      2,865 |     21,209 |
| data_service                                                                                                                                        |         63 |      7,561 |        216 |      1,263 |      9,040 |
| data_service (Files)                                                                                                                                |          1 |         68 |          2 |          9 |         79 |
| data_service/api                                                                                                                                    |         22 |      2,153 |         88 |        494 |      2,735 |
| data_service/api (Files)                                                                                                                            |          6 |        305 |          1 |        100 |        406 |
| data_service/api/db                                                                                                                                 |          2 |        104 |         12 |         34 |        150 |
| data_service/api/fetchers                                                                                                                           |          3 |        231 |         69 |         44 |        344 |
| data_service/api/routes                                                                                                                             |          4 |        374 |          5 |         85 |        464 |
| data_service/api/tests                                                                                                                              |          7 |      1,139 |          1 |        231 |      1,371 |
| data_service/database                                                                                                                               |         23 |      1,326 |         69 |        178 |      1,573 |
| data_service/database (Files)                                                                                                                       |          2 |         61 |          0 |          6 |         67 |
| data_service/database/data_initialization                                                                                                           |          4 |        995 |         45 |        123 |      1,163 |
| data_service/database/init                                                                                                                          |          2 |         24 |          3 |          5 |         32 |
| data_service/database/schema                                                                                                                        |         15 |        246 |         21 |         44 |        311 |
| data_service/database/schema (Files)                                                                                                                |          1 |         14 |          5 |          5 |         24 |
| data_service/database/schema/tables                                                                                                                 |         14 |        232 |         16 |         39 |        287 |
| data_service/inflow_gateway                                                                                                                         |          6 |      1,252 |         31 |        315 |      1,598 |
| data_service/inflow_gateway (Files)                                                                                                                 |          5 |        527 |         31 |        122 |        680 |
| data_service/inflow_gateway/tests                                                                                                                   |          1 |        725 |          0 |        193 |        918 |
| data_service/shared                                                                                                                                 |          2 |         84 |          7 |         19 |        110 |
| data_service/transform_layer                                                                                                                        |          9 |      2,678 |         19 |        248 |      2,945 |
| data_service/transform_layer (Files)                                                                                                                |          7 |      2,610 |         19 |        223 |      2,852 |
| data_service/transform_layer/tests                                                                                                                  |          2 |         68 |          0 |         25 |         93 |
